id,name,lat,lon
restaurant_83859,"Popeyes 242 Banks Xing Fayetteville, Georgia 30214 - USA",33.469583,-84.446637
restaurant_86688,"Popeyes 3870 Ferdon Blvd. Crestview, Florida 32536 - USA",30.72108,-86.569783
restaurant_239871,"Popeyes 201 McMeans Ave Bay Minette, Alabama 36507 - USA",30.87912,-87.784361
restaurant_242136,"Popeyes 8610 Dallas Acworth Hwy Dallas, Georgia 30132 - USA",34.008758,-84.75615
restaurant_84691,"Popeyes 6125 Old National Hwy College Park, Georgia 30349 - USA",33.58784,-84.46972
restaurant_84105,"Popeyes 3519 Camp Creek Pkwy Atlanta, Georgia 30344 - USA",33.65559,-84.50054
restaurant_83108,"Popeyes 1830 E West Connector Austell, Georgia 30106 - USA",33.854496,-84.606454
restaurant_82538,"Popeyes 6077 Mableton Pkwy SW Mableton, Georgia 30126 - USA",33.80586,-84.56925
restaurant_82209,"Popeyes 1701 S Gloster St Tupelo, Mississippi 38801 - USA",34.219102,-88.719462
restaurant_82581,"Popeyes 1703 Florence Blvd Florence, Alabama 35630 - USA",34.822494,-87.651735
restaurant_81758,"Popeyes 6717 Highway 85 Riverdale, Georgia 30274 - USA",33.571569,-84.413104
restaurant_82485,"Popeyes 11700 Spine Road Atlanta, GA, Georgia 30320 - USA",33.640706,-84.444419
restaurant_82746,"Popeyes 9700 Spine Road Atlanta, GA, Georgia 30320 - USA",33.639836,-84.435858
restaurant_86487,"Popeyes 3349 MLK Jr Dr Atlanta, Georgia 30331 - USA",33.754888,-84.497335
restaurant_84841,"Popeyes 6000 South Terminal Pkwy Atlanta, Georgia 30320 - USA",33.639004,-84.429363
restaurant_84930,"Popeyes 1411 Georgia Highway 16 W Griffin, Georgia 30223 - USA",33.247922,-84.287628
restaurant_90636,"Popeyes 603 Martin Luther King Jr Drive Cartersville, Georgia 30121 - USA",34.176281,-84.785422
restaurant_241452,"Popeyes 2120 Lovejoy Road Lovejoy, Georgia 30228 - USA",33.441992,-84.322895
restaurant_82816,"Popeyes 6553 Tara Blvd Jonesboro, Georgia 30236 - USA",33.5754,-84.372668
restaurant_239744,"Popeyes 1101 Powder Springs St Marietta, Georgia 30064 - USA",33.926235,-84.571361
restaurant_84408,"Popeyes 3350 S Cobb Dr SE Smyrna, Georgia 30080 - USA",33.871715,-84.529716
restaurant_82737,"Popeyes 839 Cleveland Avenue SW Atlanta, Georgia 30315 - USA",33.681661,-84.416174
restaurant_81753,"Popeyes 610 Cascade Ave SW Atlanta, Georgia 30310 - USA",33.738278,-84.434477
restaurant_86549,"Popeyes 1430 Barrett Pkwy Kennesaw, Georgia 30152 - USA",33.995582,-84.592362
restaurant_237962,"Popeyes 3462 Baker Road Acworth, Georgia 30101 - USA",34.07632,-84.65148
restaurant_242032,"Popeyes 6185 Jonesboro Rd, Morrow, Georgia 30260 - USA",33.585844,-84.339477
restaurant_81757,"Popeyes 515 Lee St SW Atlanta, Georgia 30310 - USA",33.740906,-84.414497
restaurant_88017,"Popeyes 4538 US 90 West Pace, Florida 32571 - USA",30.603322,-87.134438
restaurant_82905,"Popeyes 981 Cassville White Rd NE Cartersville, Georgia 30121 - USA",34.27397,-84.807763
restaurant_83872,"Popeyes 159 Cobb Pkwy S Marietta, Georgia 30060 - USA",33.948327,-84.518599
restaurant_82197,"Popeyes 2691 Windy Hill Rd SE Marietta, Georgia 30067 - USA",33.901431,-84.476713
restaurant_84703,"Popeyes 1211 Moreland Ave SE Atlanta, Georgia 30316 - USA",33.721537,-84.349803
restaurant_82090,"Popeyes 2247 Highway 15 N Laurel, Mississippi 39440 - USA",31.719728,-89.148114
restaurant_81731,"Popeyes 683 Boulevard NE Atlanta, Georgia 30308 - USA",33.773211,-84.370758
